node	x	y	z
1	102.555	149.676	4.218
2	111.640	115.664	4.101
3	118.525	142.553	4.178
4	117.318	103.472	5.700
5	114.921	164.576	4.060
6	98.866	148.349	4.170
7	117.394	110.531	5.713
8	102.435	115.553	4.142
9	106.993	142.852	4.163
10	125.396	105.395	4.128
11	95.778	170.135	4.242
12	114.473	119.826	4.137
13	98.903	142.806	4.177
14	123.867	170.760	4.060
15	106.665	158.508	4.163
16	111.753	102.467	4.164
17	111.651	110.349	4.106
18	98.550	157.332	4.186
19	118.196	158.216	4.083
20	114.037	147.931	4.045
21	102.372	163.460	4.132
22	102.339	169.411	4.138
23	124.122	118.205	4.062
24	112.589	130.999	4.121
25	124.057	110.782	4.050
26	123.922	148.881	4.086
27	95.782	105.520	6.010
28	117.328	124.221	5.705
29	99.964	119.749	4.178
30	107.969	119.816	4.166
31	123.854	130.898	4.163
32	123.889	165.638	4.059
33	96.042	123.184	4.148
34	102.230	102.326	4.292
35	114.975	170.962	4.058
36	102.484	110.642	4.159
37	102.314	133.055	4.340
38	118.525	168.810	5.710
